Air_Density,Temperature,Humidity,Blade_Length,Power_Output
1.112,21.4,27.1,70,6846.52
1.285,11,24.3,46,2760.01
1.22,3.7,78.6,52,3643.08
1.18,-7,63.2,69,5236.84
1.047,30,72.8,74,6877.14
1.047,-3.9,66.4,61,3630.42
1.017,10.5,20.9,61,4153.45
1.26,1.7,45.6,72,5904.8
1.18,12.7,75.3,67,5971.71
1.212,5.7,88.9,58,5106.91
1.006,31.5,32.4,33,1585.97
1.291,38.9,29.4,40,3242.08
1.25,37.1,96.7,80,8825.14
1.064,21.1,97.4,53,3724.47
1.055,39,80,54,3941.58
1.055,10,24.7,38,1816.75
1.091,16.1,70.4,60,4665.12
1.157,2.8,30.3,59,4617.16
1.13,34.9,87.6,46,2790.19
1.087,-1,44.3,39,1933.34
1.184,20.5,58,48,3273.66
1.042,30,34.9,67,5256
1.088,19.8,78,62,5350.41
1.11,-6.1,60.2,57,3851.37
1.137,20.6,76.5,37,2130.32
1.236,28.4,45.6,51,4073.52
1.06,-0.6,50.1,33,1251.82
1.154,26.8,91.7,58,5493.2
1.178,33.9,40.3,48,3226.32
1.014,39.3,92.2,68,7811.49
1.182,10.5,26.1,70,5647.91
1.051,-8.7,32.7,49,1962.8
1.02,11,73.1,70,6214.4
1.285,23,99.5,61,6809.05
1.29,34.6,94.7,64,6972.11
1.243,36.9,60.7,73,9348.21
1.091,35.5,62.2,30,1101.52
1.029,22.9,65.9,38,1779.47
1.205,24.1,83.4,61,5959.95
1.132,-9.9,64.1,45,2386.6
1.037,8.2,29.4,49,2513.81
1.149,35.3,87.1,46,3340.43
1.01,24.5,90.8,32,1065.14
1.273,13.4,93.4,79,7789.22
1.078,-4.8,53.6,35,1073.83
1.199,2.3,37.7,56,4076.23
1.094,17.7,29.6,50,3355.28
1.156,34.9,62,64,5999.25
1.164,-5.2,42.2,31,1081.15
1.055,-2.3,54.2,30,1019
1.291,22.8,27.9,68,7733.99
1.233,4.7,35.9,65,4378.06
1.282,-1.5,55.1,57,3554.64
1.268,-1.1,34.3,31,1274.34
1.179,14.6,38,74,8685.49
1.277,19.2,21.6,41,2967.06
1.027,35.2,25.8,67,5509.79
1.059,16.5,29.3,37,1499.09
1.014,24.6,72.5,51,2870.91
1.098,-1,32,46,2315.59
1.117,25.7,90.4,33,1683.93
1.081,22.4,82.8,44,2886.6
1.249,0.8,85.4,45,3054.64
1.107,23.5,48.2,59,4845.12
1.084,0.6,24.6,61,3261.83
1.163,19.7,26.1,52,3233.11
1.042,23.4,75.2,45,2752.29
1.241,24.7,93.9,59,5864.13
1.022,35.5,34,42,2623.92
1.296,37.4,89.1,63,7714.69
1.232,30.5,72.2,77,11093.3
1.06,33.9,74.1,74,8040.3
1.002,-9,75.8,54,2821.98
1.245,8.1,25,49,3668.86
1.212,-8,68.3,35,1334.01
1.219,1.2,58.7,54,3467.56
1.231,9.1,86.9,67,5732.78
1.022,33.4,54.3,60,5036.08
1.108,15.6,60.8,61,3900.76
1.035,22.4,66.4,36,1926.19
1.259,8.1,66.9,46,2635.06
1.187,20.1,52,64,5485.77
1.099,30.8,33.3,65,7242.76
1.019,5.1,40.1,72,6441.9
1.093,36.6,53,68,7825.9
1.098,0.7,69.6,61,4913.43
1.219,36,56.4,68,7729.78
1.191,-8.6,83.3,41,1734.66
1.266,17.1,66,69,5962.97
1.142,39.3,47.4,52,4700.93
1.036,20.5,59.8,69,5688.99
1.214,17.7,48.7,45,2975.98
1.228,24.1,22.4,65,5591.52
1.168,4.5,42.5,76,6318.39
1.231,-7.3,56.1,60,4120.29
1.148,2.6,40.4,64,5271.99
1.157,-1.2,77.6,80,6848
1.128,36.2,89,46,3838.13
1.008,32.6,43.8,75,8339.16
1.032,5.9,21.9,34,1117.17
1.009,31.8,90,80,9114.21
1.191,0.6,66.2,72,6394.15
1.094,0,20.5,64,4283.23
1.153,28.4,60,33,1517.85
1.272,6.3,27.7,33,1612.39
1.075,-6.8,73.9,55,2898.54
1.123,26,62.7,46,3290.6
1.227,39.5,93.1,53,4525.42
1.069,18.3,51.6,62,4975.93
1.023,3.2,93.9,32,965.83
1.087,8.6,86.9,78,6180.93
1.048,22.4,80.2,41,2174.42
1.279,25.1,55,72,7174.12
1.242,34.3,53.1,45,3799.68
1.19,35.4,51.6,49,4307.77
1.261,33.1,24.1,45,3771.16
1.241,22.4,68.5,63,6246.51
1.056,12.5,83.8,34,1109.85
1.268,24,79.5,37,2051.38
1.162,23.3,66.6,47,3445.93
1.242,0.9,48.6,51,3651.92
1.269,15.4,75.6,60,4560.3
1.095,0.4,62.3,56,3175.8
1.033,35,87.2,76,8210.24
1.068,6.2,41.9,44,2513.51
1.128,30.3,28.2,70,5896.71
1.245,8.9,20.3,62,6164.25
1.258,28.2,79.4,69,8887.57
1.002,1,67.9,48,2072.73
1.153,28.2,24.8,34,1487.9
1.125,-1,87.2,43,2086.67
1.067,14.5,58.2,59,4818.35
1.036,-4.3,56.9,67,4639.64
1.101,16.4,74.8,33,1308.79
1.283,31,70.8,49,3639.16
1.097,27.8,39.1,61,5661.84
1.156,-7.5,71.6,73,5409.28
1.211,14.6,88.7,48,3742.66
1.109,32.6,51.3,71,7962.2
1.292,22.5,43.2,37,2226.01
1.289,-7,24.8,53,2705.48
1.076,6.3,68.4,44,2645.43
1.149,17.8,80.4,53,3418.2
1.09,-1.4,97.4,61,4032.09
1.085,24.1,69,78,7508.76
1.011,21.7,55.8,67,4474.74
1.183,0.1,94.8,73,5564.8
1.151,17.5,34.3,62,6058.71
1.015,30.6,76.7,77,7375.79
1.084,8.7,46.2,37,1379.93
1.272,2.3,88.9,51,2811.94
1.072,25.1,79.6,75,7409.72
1.043,-6.5,46.7,37,1160.86
1.147,31.6,82,76,8639.73
1.296,37.2,91.2,73,8790.24
1.073,38.2,40.2,55,3734.66
1.202,11.6,65.7,45,2526.34
1.228,21.2,53.6,30,1372.24
1.071,32.9,94.1,67,7125.25
1.218,1.2,97.8,34,1141.95
1.11,-8.6,28.3,30,880.25
1.19,9.2,63.9,56,3525.23
1.19,34.2,62.5,39,2491.53
1.161,15.3,89.5,63,4449.92
1.027,16.5,82.3,30,1024.88
1.251,24.6,43,51,4291.75
1.096,18.7,61.8,50,3229.73
1.056,-7.3,50.3,63,3412.93
1.012,18,48.3,46,2455.11
1.177,22.4,78.5,40,1899.82
1.203,22.1,68,54,4608.15
1.005,26.4,35.9,30,1274.1
1.154,16,69.7,52,2903.38
1.068,35,57.1,32,1617.29
1.194,13.2,47.3,54,3678.52
1.052,15.9,25.3,46,2214.66
1.207,29,94.3,58,5018.09
1.116,31.7,88.9,31,1365.55
1.281,22.4,44.3,66,6662.82
1.041,-3.7,64.5,74,5361.02
1.102,6.6,89.2,72,6321.43
1.034,-9,61.6,35,951.77
1.277,4.8,31.3,44,2353.88
1.263,18.5,58,56,5503.24
1.077,30.3,45.1,62,4395.3
1.198,19.3,56.6,37,2161.99
1.245,-8,87.8,76,6076.03
1.167,3,52.7,31,1180.18
1.159,18.9,84,44,2143.59
1.073,25.5,38.6,63,4800.13
1.028,33.3,67.5,48,3543.75
1.269,38.4,54.1,30,1792.36
1.27,34.6,97.8,43,3125.41
1.19,13.4,20.1,64,6419.3
1.102,27.3,49.1,53,3508.05
1.105,2,85.1,77,5532.33
1.218,-6.8,51.3,58,4507.84
1.269,-7.2,37.4,68,5620.58
1.266,2.1,88.3,77,7717.72
1.234,-8.1,67.3,66,4578.74
1.193,32.5,64.5,69,6879.19
1.025,14.5,52.1,77,5963.85
1.048,30.5,32.6,43,2650.68
1.27,37,66,70,6978.85
1.182,39.7,60.4,49,4279.08
1.003,36.9,52.2,75,8647.86
1.03,25.8,26.2,41,2085.53
1.199,12.1,72.1,77,9061.11
1.002,19.9,70.5,63,4875.16
1.048,30.8,64.7,59,4919.2
1.165,34.9,30.5,63,5134.58
1.208,37.8,44.2,52,4772.14
1.196,26.5,57.6,46,2911.06
1.067,17,78.8,51,3162.8
1.214,38.4,37.8,38,2101.86
1.071,37.9,84.1,48,2929.58
1.098,13.9,45.5,50,2909.59
1.224,22.4,73.3,78,9392.24
1.195,30.5,95,72,8569.65
1.255,11.7,77.1,52,3904.03
1.197,31.5,25.5,77,7816.23
1.17,-4.4,50.1,31,1113.35
1.028,14.1,66.3,61,5161.79
1.11,14.1,73.9,48,3377.33
1.08,24.2,47.6,35,1622.42
1.073,-4.2,54.3,73,6114.97
1.292,-4.8,50.1,52,3273.71
1.118,35,75.8,36,1715.08
1.268,5.2,93.1,41,2499.44
1.189,6.3,82.3,61,4305.57
1.238,28.8,41.1,79,8489.72
1.151,10.7,63.2,60,4202.8
1.173,31.6,58.3,67,6524.27
1.148,10.1,21.2,69,5384.36
1.059,28,95.1,61,5860.2
1.217,16.3,57.3,40,2098.97
1.084,36.8,95.5,76,9537.52
1.007,6.4,73.1,73,6838.14
1.194,8.1,76.7,57,4072.63
1.053,38.5,54.2,31,1373.19
1.282,26.9,88.6,58,4797.97
1.286,28.6,34.8,61,6790.46
1.274,4.8,96.7,36,1645.05
1.111,16.6,69.3,58,4749.61
1.005,5.7,46.6,34,1013.62
1.278,3,79.1,58,4669.05
1.128,16.8,79.6,66,5074.06
1.29,39.4,82,31,1655.69
1.289,0.7,43.5,78,7976.9
1.256,2.1,22.1,68,6663.14
1.088,2.2,91.1,58,4289.04
1.116,29.6,83.8,71,8399.42
1.255,15.5,52.2,50,4048.59
1.095,9.2,33.3,69,5849.82
1.051,32.2,57.5,41,2084.3
1.167,4.9,44.5,55,2985.58
1.281,9.6,35.5,61,5314.31
1.209,-6.3,58.9,49,3147.14
1.171,-4.1,86.4,34,1422.13
1.029,-3.2,66.5,33,1294.01
1.185,7.3,59,70,5855.54
1.297,16.2,99.5,39,2216.91
1.042,-10,80.8,41,1689.22
1.155,-0.5,30.6,80,8268.9
1.263,-1.2,53.3,62,5195.63
1.222,2.7,57.2,75,6952.13
1.209,-1.7,68.8,34,1395.75
1.211,-0.2,74.5,40,1782.28
1.108,39.2,46,66,7086.52
1.088,19.7,49.4,59,3955.28
1.243,28.1,28.3,56,5668.32
1.243,31,27.1,78,10757.09
1.26,23.4,80.6,59,5625.02
1.274,25.2,94.1,72,7662.12
1.153,21.6,35.7,75,6875.59
1.15,22.5,93.8,42,2130.86
1.239,36.4,47.5,54,5288.92
1.195,-0.7,90.5,44,2411.58
1.211,3.7,22.1,76,6001.38
1.239,-5.3,27.2,31,1100.59
1.267,31.9,54.8,71,7816.67
1.101,12.4,87.8,40,1793.77
1.113,35.4,55.9,30,1117.6
